url,slug,date,ticker,reliable_date
https://thebearcave.substack.com/p/problems-at-celsius-holdings-celh,/p/problems-at-celsius-holdings-celh,2023-01-25,CELH,False
https://thebearcave.substack.com/p/problems-at-everquote-ever,/p/problems-at-everquote-ever,2023-01-25,EVER,False
https://thebearcave.substack.com/p/problems-at-enova-international-enva,/p/problems-at-enova-international-enva,2023-01-26,ENVA,False
https://thebearcave.substack.com/p/problems-at-k12-inc-lrn,/p/problems-at-k12-inc-lrn,2023-01-26,LRN,False
https://thebearcave.substack.com/p/more-problems-at-planet-fitness-plnt,/p/more-problems-at-planet-fitness-plnt,2023-02-02,PLNT,False
https://thebearcave.substack.com/p/problems-at-chefs-warehouse-chef,/p/problems-at-chefs-warehouse-chef,2023-02-07,CHEF,False
https://thebearcave.substack.com/p/problems-at-triterras-trit,/p/problems-at-triterras-trit,2023-02-07,,False
https://thebearcave.substack.com/p/problems-at-root-insurance-root,/p/problems-at-root-insurance-root,2023-02-07,ROOT,False
https://thebearcave.substack.com/p/problems-at-yalla-group-yala,/p/problems-at-yalla-group-yala,2023-02-08,YALA,False
https://thebearcave.substack.com/p/problems-at-canoo-goev,/p/problems-at-canoo-goev,2023-02-08,,False
https://thebearcave.substack.com/p/problems-at-greenbox-pos-gbox,/p/problems-at-greenbox-pos-gbox,2023-02-08,,False
https://thebearcave.substack.com/p/problems-at-nano-dimension-nndm,/p/problems-at-nano-dimension-nndm,2023-02-08,NNDM,False
https://thebearcave.substack.com/p/problems-at-medical-properties-trust,/p/problems-at-medical-properties-trust,2023-02-08,,False
https://thebearcave.substack.com/p/problems-at-vuzix-vuzi,/p/problems-at-vuzix-vuzi,2023-02-08,VUZI,False
https://thebearcave.substack.com/p/problems-at-ageagle-aerial-systems,/p/problems-at-ageagle-aerial-systems,2023-02-08,,False
https://thebearcave.substack.com/p/potential-at-ford-f,/p/potential-at-ford-f,2023-02-08,,False
https://thebearcave.substack.com/p/problems-at-curiositystream-curi,/p/problems-at-curiositystream-curi,2023-02-08,CURI,False
https://thebearcave.substack.com/p/more-problems-at-triterras-trit,/p/more-problems-at-triterras-trit,2023-02-08,,False
https://thebearcave.substack.com/p/problems-at-fulgent-genetics-flgt,/p/problems-at-fulgent-genetics-flgt,2023-02-08,FLGT,False
https://thebearcave.substack.com/p/potential-at-otonomo-saii,/p/potential-at-otonomo-saii,2023-02-08,,False
https://thebearcave.substack.com/p/problems-at-redwire-rdw,/p/problems-at-redwire-rdw,2023-02-09,RDW,False
https://thebearcave.substack.com/p/problems-at-playtika-pltk,/p/problems-at-playtika-pltk,2023-02-09,PLTK,False
https://thebearcave.substack.com/p/problems-at-seer-inc-seer,/p/problems-at-seer-inc-seer,2023-02-09,SEER,False
https://thebearcave.substack.com/p/more-problems-at-the-joint-corp-jynt,/p/more-problems-at-the-joint-corp-jynt,2023-02-09,JYNT,False
https://thebearcave.substack.com/p/problems-at-clear-secure-inc-nyse,/p/problems-at-clear-secure-inc-nyse,2023-02-09,,False
https://thebearcave.substack.com/p/problems-at-shotspotter-ssti,/p/problems-at-shotspotter-ssti,2023-02-09,SSTI,False
https://thebearcave.substack.com/p/problems-at-betterware-de-mexico,/p/problems-at-betterware-de-mexico,2023-02-09,,False
https://thebearcave.substack.com/p/problems-at-oppfi-opfi,/p/problems-at-oppfi-opfi,2023-02-09,OPFI,False
https://thebearcave.substack.com/p/problems-at-the-joint-corp-jynt,/p/problems-at-the-joint-corp-jynt,2023-02-09,JYNT,False
https://thebearcave.substack.com/p/problems-at-payoneer-payo,/p/problems-at-payoneer-payo,2023-02-09,PAYO,False
https://thebearcave.substack.com/p/problems-at-exp-world-holdings-inc,/p/problems-at-exp-world-holdings-inc,2023-02-10,,False
https://thebearcave.substack.com/p/problems-at-zeta-global-holdings,/p/problems-at-zeta-global-holdings,2023-02-10,,False
https://thebearcave.substack.com/p/problems-at-corporate-charities,/p/problems-at-corporate-charities,2023-02-10,,False
https://thebearcave.substack.com/p/problems-at-freedom-holding-corp,/p/problems-at-freedom-holding-corp,2023-02-10,,False
https://thebearcave.substack.com/p/more-problems-at-roblox-rblx,/p/more-problems-at-roblox-rblx,2023-02-10,RBLX,False
https://thebearcave.substack.com/p/problems-at-vail-resorts-mtn,/p/problems-at-vail-resorts-mtn,2023-02-10,MTN,False
https://thebearcave.substack.com/p/problems-at-roblox-rblx,/p/problems-at-roblox-rblx,2023-02-10,RBLX,False
https://thebearcave.substack.com/p/problems-at-zoominfo-technologies,/p/problems-at-zoominfo-technologies,2023-02-11,,False
https://thebearcave.substack.com/p/problems-at-rci-hospitality-holdings,/p/problems-at-rci-hospitality-holdings,2023-02-11,,False
https://thebearcave.substack.com/p/problems-at-perion-network-peri,/p/problems-at-perion-network-peri,2023-02-11,PERI,False
https://thebearcave.substack.com/p/problems-at-toronto-dominion-bank,/p/problems-at-toronto-dominion-bank,2023-02-12,,False
https://thebearcave.substack.com/p/problems-at-olaplex-holdings-olpx,/p/problems-at-olaplex-holdings-olpx,2023-02-12,,False
https://thebearcave.substack.com/p/problems-at-amalgamated-bank-amal,/p/problems-at-amalgamated-bank-amal,2023-02-12,AMAL,False
https://thebearcave.substack.com/p/problems-at-ammo-inc-poww,/p/problems-at-ammo-inc-poww,2023-02-13,POWW,False
