domain,items,author_rate,date_rate,resolved_rate,ticker_rate,distinct_authors,passes,error
newsletter.platypuseconomics.com,20,1.0,1.0,1.0,0.0,2,False,
newsletter.semianalysis.com,20,1.0,1.0,0.95,0.5,14,True,
nextbigideaclub.com,15,1.0,1.0,1.0,0.0,15,False,
noahpinion.substack.com,20,1.0,1.0,1.0,0.0,1,False,
nongaap.com,20,1.0,1.0,0.0,0.0,0,False,
notboring.co,20,1.0,1.0,1.0,0.1,1,False,
novelinvestor.com,6,1.0,1.0,1.0,0.333,1,True,
ofdollarsanddata.com,10,1.0,1.0,1.0,0.2,1,True,
oldroperesearch.substack.com,20,1.0,1.0,0.0,0.3,0,False,
oldster.substack.com,20,1.0,1.0,0.65,0.05,1,False,
overlookedalpha.com,20,1.0,1.0,0.0,0.0,0,False,
paulkrugman.substack.com,20,1.0,1.0,0.0,0.0,0,False,
peterlazaroff.com,10,1.0,1.0,0.0,0.1,0,False,
petition11.com,20,1.0,1.0,0.8,0.4,1,True,
philbak.substack.com,20,1.0,1.0,0.0,0.05,0,False,
pogueman.substack.com,20,1.0,1.0,1.0,0.0,1,False,
rcmalternatives.com,9,1.0,1.0,1.0,0.0,2,False,
read.technically.dev,20,0.95,1.0,0.7,0.15,9,True,
readideabrunch.com,20,1.0,1.0,1.0,0.05,1,False,
readthejointaccount.com,20,1.0,1.0,1.0,0.0,1,False,
readtrung.com,20,0.95,1.0,0.0,0.3,0,False,
retirementresearcher.com,10,1.0,1.0,0.1,0.0,1,False,
rhinoinsight.substack.com,20,1.0,1.0,0.0,0.2,0,False,
riabiz.com,20,1.0,1.0,1.0,0.0,3,False,
ritholtz.com,10,1.0,1.0,0.0,0.0,0,False,
seths.blog,10,1.0,1.0,1.0,0.0,1,False,
sfstandard.com,10,1.0,1.0,1.0,0.0,9,False,
sgcarney.substack.com,20,1.0,1.0,1.0,0.0,1,False,
sixcolors.com,75,1.0,1.0,0.667,0.0,4,False,
sportico.com,10,1.0,1.0,0.9,0.0,5,False,
spyglass.org,15,1.0,1.0,1.0,0.0,1,False,
stayathomemacro.substack.com,20,1.0,1.0,1.0,0.0,1,False,
stratechery.com,10,1.0,1.0,1.0,0.0,1,False,
tarotcapital.substack.com,20,1.0,1.0,0.0,0.7,0,False,
taxalphainsider.com,15,1.0,1.0,1.0,0.0,1,False,
the10thman.substack.com,20,1.0,1.0,0.0,0.75,0,False,
theargumentmag.com,20,1.0,1.0,0.95,0.0,10,False,
thebearcave.substack.com,20,1.0,1.0,0.95,0.9,2,True,
thebulwark.com,20,1.0,1.0,1.0,0.0,11,False,
thechipletter.substack.com,20,1.0,1.0,0.0,0.25,0,False,
thediff.co,5,1.0,1.0,1.0,0.0,1,False,
theretirementmanifesto.com,10,1.0,1.0,1.0,0.0,2,False,
thetranscript.substack.com,20,1.0,1.0,0.0,0.0,0,False,
thewolfofharcourtstreet.com,20,0.9,1.0,0.0,0.75,0,False,
thezvi.substack.com,20,1.0,1.0,1.0,0.15,1,True,
tim.signaturefd.com,20,1.0,1.0,0.0,0.0,0,False,
tker.co,20,1.0,1.0,1.0,0.0,1,False,
tmtbreakout.com,20,0.95,1.0,0.0,0.45,0,False,
tomtunguz.com,10,0.0,1.0,0.0,0.0,0,False,
tonyisola.com,10,1.0,1.0,1.0,0.0,1,False,
trevoraleo.substack.com,20,1.0,1.0,0.0,0.0,0,False,
variety.com,10,1.0,1.0,0.9,0.0,8,False,
yetanothervalueblog.com,20,1.0,1.0,0.9,0.45,1,True,
yetanothervalueblog.substack.com,20,1.0,1.0,0.9,0.45,1,True,
youngmoney.co,20,1.0,1.0,1.0,0.1,1,False,
yourbrainonmoney.substack.com,20,0.95,1.0,0.95,0.0,1,False,
